Day,TimeSlot,Subject
Monday,09:00-10:00,DAV
Monday,10:00-11:00,SEPM
Monday,11:15-12:15,SEPM
Monday,12:15-13:15,ML
Monday,13:45-14:45,DC

Tuesday,09:00-11:00,SEPM_PRA
Tuesday,11:15-12:15,DC
Tuesday,12:15-13:15,ML
Tuesday,13:45-14:45,DAV

Wednesday,09:00-11:00,CC_PRA
Wednesday,11:15-12:15,DAV
Wednesday,12:15-13:15,SEPM
Wednesday,13:45-14:45,DC

Thursday,09:00-11:00,ML
Thursday,11:15-12:15,CSS
Thursday,12:15-13:15,ML
Thursday,13:45-15:45,MNI_PROJECT

Friday,09:00-11:00,CSS_PRA
Friday,11:15-12:15,CSS
Friday,12:15-13:15,CSS
Friday,13:45-15:45,DAV_PRA
